Record,DATE, TIME, LOW_ALARM_LIMIT, SET_TEMP, HIGH_ALARM_LIMIT, TEMP_1, TEMP_2, TEMP_3, TEMP_4,TEMP_5, TEMP_6, TEMP_7, TEMP_8, TEMP_9,  TEMP_10, RH_LOW_ALM_LIMIT, RH_SET, RH_HIGH_ALM_LIMIT, RH_1, RH_2, RH_3, RH_4, RH_5, RH_6, RH_7, RH_8, RH_9, RH_10
         1,2025-01-15,16:05:02.009,   2.000000E+01,   2.500000E+01,   1.000000E+01,   2.600000E+01,   2.700000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,   2.000000E+01,   6.000000E+01,   8.000000E+01,   7.200000E+01,   6.900000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01
         2,2025-01-15,16:10:02.004,   2.000000E+01,   2.500000E+01,   1.000000E+01,   2.600000E+01,   2.700000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,   2.000000E+01,   6.000000E+01,   8.000000E+01,   7.100000E+01,   6.600000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01
         3,2025-01-15,16:15:02.003,   2.000000E+01,   2.500000E+01,   1.000000E+01,   2.600000E+01,   2.700000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,   2.000000E+01,   6.000000E+01,   8.000000E+01,   7.200000E+01,   6.800000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01
         4,2025-01-15,16:20:02.005,   2.000000E+01,   2.500000E+01,   1.000000E+01,   2.600000E+01,   2.700000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,   2.000000E+01,   6.000000E+01,   8.000000E+01,   7.100000E+01,   6.600000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01
         5,2025-01-15,16:25:02.016,   2.000000E+01,   2.500000E+01,   1.000000E+01,   2.600000E+01,   2.700000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,   2.000000E+01,   6.000000E+01,   8.000000E+01,   7.100000E+01,   6.600000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01
         6,2025-01-15,16:30:02.009,   2.000000E+01,   2.500000E+01,   1.000000E+01,   2.600000E+01,   2.700000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,   2.000000E+01,   6.000000E+01,   8.000000E+01,   7.400000E+01,   6.700000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01
         7,2025-01-15,16:35:02.004,   2.000000E+01,   2.500000E+01,   1.000000E+01,   2.600000E+01,   2.700000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,   2.000000E+01,   6.000000E+01,   8.000000E+01,   7.400000E+01,   6.800000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01
         8,2025-01-15,16:40:02.004,   2.000000E+01,   2.500000E+01,   1.000000E+01,   2.600000E+01,   2.700000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,   2.000000E+01,   6.000000E+01,   8.000000E+01,   7.200000E+01,   6.700000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01
         9,2025-01-15,16:45:02.008,   2.000000E+01,   2.500000E+01,   1.000000E+01,   2.600000E+01,   2.700000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,   2.000000E+01,   6.000000E+01,   8.000000E+01,   7.100000E+01,   6.500000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01
        10,2025-01-15,16:50:02.008,   2.000000E+01,   2.500000E+01,   1.000000E+01,   2.600000E+01,   2.700000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,   2.000000E+01,   6.000000E+01,   8.000000E+01,   7.200000E+01,   6.500000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01
        11,2025-01-15,16:55:02.002,   2.000000E+01,   3.000000E+01,   1.000000E+01,   2.600000E+01,   2.700000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,   2.000000E+01,   6.000000E+01,   8.000000E+01,   7.100000E+01,   6.500000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01
        12,2025-01-15,17:00:02.021,   2.000000E+01,   3.000000E+01,   1.000000E+01,   2.700000E+01,   2.700000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,   2.000000E+01,   6.000000E+01,   8.000000E+01,   6.900000E+01,   6.500000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01,  -9.990000E+01
